DEP;AREA;LON;LAT
01;5 785;"5°20'56"" E";"46°05'58"""
02;7 419;"3°33'30"" E";"49°33'34"""
03;7 380;"3°11'18"" E";"46°23'37"""
04;6 996;"6°14'38"" E";"44°06'22"""
05;5 689;"6°15'47"" E";"44°39'49"""
06;4 297;"7°06'59"" E";"43°56'15"""
07;5 565;"4°25'29"" E";"44°45'06"""
08;5 244;"4°38'27"" E";"49°36'56"""
09;4 908;"1°30'14"" E";"42°55'15"""
10;6 027;"4°09'42"" E";"48°18'16"""
11;6 345;"2°24'51"" E";"43°06'12"""
12;8 774;"2°40'47"" E";"44°16'49"""
13;5 247;"5°05'11"" E";"43°32'36"""
14;5 606;"0°21'49"" O";"49°05'59"""
15;5 776;"2°40'07"" E";"45°03'04"""
16;5 974;"0°12'06"" E";"45°43'05"""
17;6 914;"0°40'28"" O";"45°46'51"""
18;7 310;"2°29'28"" E";"47°03'53"""
19;5 900;"1°52'37"" E";"45°21'25"""
2A;4 022;"8°59'17"" E";"41°51'49"""
2B;4 708;"9°12'23"" E";"42°23'39"""
21;8 803;"4°46'20"" E";"47°25'29"""
22;6 983;"2°51'51"" O";"48°26'28"""
23;5 599;"2°01'08"" E";"46°05'25"""
24;9 224;"0°44'29"" E";"45°06'15"""
25;5 254;"6°21'42"" E";"47°09'55"""
26;6 559;"5°10'05"" E";"44°41'03"""
27;6 035;"0°59'46"" E";"49°06'49"""
28;5 933;"1°22'13"" E";"48°23'15"""
29;6 759;"4°03'32"" O";"48°15'40"""
30;5 876;"4°10'49"" E";"43°59'36"""
31;6 360;"1°10'22"" E";"43°21'31"""
32;6 300;"0°27'12"" E";"43°41'34"""
33;10 155;"0°34'31"" O";"44°49'31"""
34;6 231;"3°22'02"" E";"43°34'47"""
35;6 844;"1°38'19"" O";"48°09'16"""
36;6 898;"1°34'33"" E";"46°46'40"""
37;6 160;"0°41'29"" E";"47°15'29"""
38;7 876;"5°34'34"" E";"45°15'48"""
39;5 050;"5°41'52"" E";"46°43'42"""
40;9 351;"0°47'02"" O";"43°57'56"""
41;6 419;"1°25'46"" E";"47°37'00"""
42;4 807;"4°09'57"" E";"45°43'37"""
43;5 005;"3°48'23"" E";"45°07'41"""
44;6 912;"1°40'56"" O";"47°21'41"""
45;6 811;"2°20'39"" E";"47°54'43"""
46;5 227;"1°36'17"" E";"44°37'27"""
47;5 385;"0°27'37"" E";"44°22'03"""
48;5 175;"3°30'01"" E";"44°31'02"""
49;7 232;"0°33'51"" O";"47°23'27"""
50;6 006;"1°19'39"" O";"49°04'46"""
51;8 191;"4°14'19"" E";"48°56'57"""
52;6 257;"5°13'35"" E";"48°06'34"""
53;5 212;"0°39'29"" O";"48°08'48"""
54;5 282;"6°09'54"" E";"48°47'13"""
55;6 236;"5°22'54"" E";"48°59'22"""
56;6 874;"2°48'36"" O";"47°50'47"""
57;6 251;"6°39'48"" E";"49°02'14"""
58;6 874;"3°30'17"" E";"47°06'55"""
59;5 751;"3°13'14"" E";"50°26'50"""
60;5 890;"2°25'31"" E";"49°24'37"""
61;6 145;"0°07'44"" E";"48°37'25"""
62;6 694;"2°17'19"" E";"50°29'37"""
63;8 012;"3°08'27"" E";"45°43'33"""
64;7 685;"0°45'41"" O";"43°15'24"""
65;4 522;"0°09'50"" E";"43°03'11"""
66;4 141;"2°31'20"" E";"42°36'00"""
67;4 796;"7°33'05"" E";"48°40'15"""
68;3 533;"7°16'27"" E";"47°51'31"""
69;3 259;"4°38'29"" E";"45°52'13"""
70;5 391;"6°05'10"" E";"47°38'28"""
71;8 616;"4°32'32"" E";"46°38'41"""
72;6 246;"0°13'20"" E";"47°59'40"""
73;6 271;"6°26'37"" E";"45°28'39"""
74;4 605;"6°25'41"" E";"46°02'04"""
75;105;"2°20'32"" E";"48°51'24"""
76;6 321;"1°01'35"" E";"49°39'18"""
77;5 928;"2°56'00"" E";"48°37'36"""
78;2 305;"1°50'30"" E";"48°48'54"""
79;6 040;"0°19'02"" O";"46°33'20"""
80;6 194;"2°16'40"" E";"49°57'29"""
81;5 780;"2°09'58"" E";"43°47'07"""
82;3 729;"1°16'55"" E";"44°05'09"""
83;6 163;"6°13'05"" E";"43°27'38"""
84;3 451;"5°11'10"" E";"43°59'38"""
85;6 774;"1°17'52"" O";"46°40'29"""
86;7 038;"0°27'37"" E";"46°33'50"""
87;5 560;"1°14'07"" E";"45°53'30"""
88;5 899;"6°22'50"" E";"48°11'48"""
89;7 458;"3°33'52"" E";"47°50'23"""
90;612;"6°55'43"" E";"47°37'54"""
91;1 819;"2°14'35"" E";"48°31'20"""
92;175;"2°14'45"" E";"48°50'50"""
93;237;"2°28'41"" E";"48°55'03"""
94;246;"2°28'08"" E";"48°46'39"""
95;1 253;"2°07'52"" E";"49°04'58"""
